index,brand,title,price
192,联想（lenovo）,联想(Lenovo)拯救者Y9000K 15.6英寸游戏,15499.00
193,联想（lenovo）,联想拯救者R7000 P图设计制图15.6英寸标压八核锐龙R7高色域,6499.00
194,联想（lenovo）,联想(Lenovo)YOGA 14s 2021款 14英寸全面屏超轻薄,5968.00
195,联想（lenovo）,十一代酷睿i5,6099.00
196,联想（lenovo）,联想（Lenovo）V15 英特尔十代酷睿i3 超轻薄高性能独显办公游戏学生手提,3599.00
197,联想（lenovo）,联想小新Pro13锐龙版 13.3英寸八核超薄2.5K超清屏人脸识别学生网课轻薄手提,5999.00
198,联想（lenovo）,联想（Lenovo）拯救者Y9000K  高性能电竞15.6英寸游戏,15499.00
199,联想（lenovo）,联想（Lenovo）V340 十代酷睿i3 15.6英寸高性能商用轻薄办公游戏学生网课手提,4199.00
200,联想（lenovo）,联想拯救者R7000P 锐龙标压8核16线程144Hz电竞屏吃鸡游戏设计师高色域,8599.00
201,联想（lenovo）,联想拯救者y7000p八核旗舰酷睿i7 Adobe设计师电竞吃鸡 15.6英寸大学游戏,9999.00
202,联想（lenovo）,联想拯救者y9000x 酷睿标压i7 广色域r轻薄办公设计吃鸡电竞游戏,8199.00
203,联想（lenovo）,联想(Lenovo)平板小新Pad Pro 11.5英寸 影音娱乐办公 2.5K全面屏学生网课电脑 小新Pad Pro 6G+128G WIFI版 【学生护眼屏】,2399.00
204,联想（lenovo）,14英寸超轻薄手提,4399.00
205,联想（lenovo）,联想(Lenovo)小新15锐龙R7八核高配轻薄本15.6英寸大屏手提办公学生网课游戏,5199.00
206,联想（lenovo）,【新品】联想(Lenovo)扬天威6 十一代酷睿i3-1115G4 14英寸轻薄商务办公,3699.00
207,联想（lenovo）,联想小新15 2020酷睿十代i5全新MX350满血独显15.6英寸高色域全面屏学生超轻薄,5699.00
208,联想（lenovo）,联想小新15 2020款 十代酷睿i7全面屏超轻薄学生便携办公窄边框独显手提15.6英寸,7499.00
209,联想（lenovo）,联想（Lenovo）V14 锐龙六核R5 14英寸超轻薄商务办公学生游戏,4199.00
210,联想（lenovo）,联想(Lenovo)扬天V15 15.6英寸新锐龙R3轻薄学生游戏超薄本商务办公手提,3799.00
211,联想（lenovo）,联想威6 2021款十一代酷睿i3学生女生商务办公超极本 14英寸轻薄便携全面屏游戏手提,4599.00
212,联想（lenovo）,联想（Lenovo）小新15 新酷睿版 高性能i5 手提轻薄,4799.00
213,联想（lenovo）,联想IdeaPad14s 2020款,3399.00
214,联想（lenovo）,联想威6 2021款14英寸锐龙R3R5高性能超轻薄商务办公家用游戏学生网课手提,3999.00
215,联想（lenovo）,联想(Lenovo)IdeaPad14s新款十代i3轻薄网课办公高性能,3499.00
216,联想（lenovo）,"	
【二手9成新】联想Thinkpad E470 独显14寸轻薄游戏",2699.00
217,联想（lenovo）,联想威6 2021款酷睿11代i3高性能轻薄本14英寸超窄边框游戏设计办公,4599.00
218,联想（lenovo）,联想YOGA S740 14英寸全面屏十代四核设计师超薄本商务办公手提超轻薄金属,5699.00
219,联想（lenovo）,联想拯救者r7000P旗舰八核锐龙Pr设计师办公全面屏144Hz电竞游戏本15.6英寸轻薄,9999.00
220,联想（lenovo）,"
14英寸全面屏超轻薄手提八核锐龙",5299.00
